Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
A. Beever-Jones,Chelsea FC Women,2,0.53,0.53,0.0
A. Greenwood,Manchester City WFC,3,0.47,0.34,0.12
A. Kennedy,London City Lionesses LFC,1,0.06,0.0,0.06
A. Russo,Arsenal WFC,3,0.19,0.11,0.08
C. Kelly,Arsenal WFC,4,0.55,0.55,0.0
C. Macário,Chelsea FC Women,1,0.1,0.0,0.1
E. Fox,Arsenal WFC,1,0.09,0.09,0.0
F. Maanum,Arsenal WFC,3,0.59,0.59,0.0
G. Prior,Manchester City WFC,1,0.05,0.0,0.05
J. Roddar,London City Lionesses LFC,1,0.08,0.08,0.0
J. Rose,Manchester City WFC,1,0.05,0.0,0.05
K. Asllani,London City Lionesses LFC,1,0.79,0.0,0.79
K. McCabe,Arsenal WFC,1,0.04,0.04,0.0
K. Shaw,Manchester City WFC,5,0.56,0.49,0.06
K. Walsh,Chelsea FC Women,2,0.17,0.0,0.17
K. Zelem,London City Lionesses LFC,1,0.08,0.0,0.08
L. Murphy,Manchester City WFC,2,0.07,0.07,0.0
M. Hamano,Chelsea FC Women,2,0.45,0.41,0.04
N. Charles,Manchester City WFC,1,0.0,0.0,0.0
N. Parris,London City Lionesses LFC,1,0.03,0.03,0.0
O. Smith,Arsenal WFC,4,0.2,0.09,0.11
S. Baltimore,Chelsea FC Women,1,0.1,0.1,0.0
S. Blackstenius,Arsenal WFC,2,0.59,0.59,0.0
V. Miedema,Manchester City WFC,2,0.14,0.14,0.0
V. Pelova,Arsenal WFC,2,0.13,0.13,0.0
Y. Hasegawa,Manchester City WFC,3,0.53,0.53,0.0
